name	mod	context	context_source	default	live	seen	english	russian
key.irons_spellbooks.spell_wheel_toggle	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.unknown	options	Spell Wheel Toggle	Переключение колеса заклинаний
key.irons_spellbooks.spellbook_cast	irons_spellbooks	UNIVERSAL	assumed		key.keyboard.v	options	Cast Selected Spell	Применить выбранное заклинание
key.jade.config	jade	UNIVERSAL	assumed		key.keyboard.keypad.0	options	Open Config	Открыть настройки
key.jade.narrate	jade	UNIVERSAL	assumed		key.keyboard.keypad.5	options	Narrate	Комментатор
key.jade.show_details	jade	UNIVERSAL	assumed		key.keyboard.left.shift	options	Show Details	Показать подробности
key.jade.show_overlay	jade	UNIVERSAL	assumed		key.keyboard.keypad.1	options	Show Overlay	Показать наложение
key.jade.show_recipes	jade	UNIVERSAL	assumed		key.keyboard.keypad.3	options	Show Recipes	Показать рецепты
key.jade.show_uses	jade	UNIVERSAL	assumed		key.keyboard.keypad.4	options	Show Uses	Показать применения
key.jade.toggle_liquid	jade	UNIVERSAL	assumed		key.keyboard.keypad.2	options	Toggle Fluid	Переключить жидкости
key.jei.bookmark	jei	UNIVERSAL	assumed		key.keyboard.a	options	Add/Remove Bookmark	Добавить/убрать закладку
key.jei.cheatItemStack	jei	UNIVERSAL	assumed		key.mouse.left:SHIFT	options	Cheat 1 Stack	Сжульничать 1 стэк
key.jei.cheatItemStack2	jei	UNIVERSAL	assumed		key.mouse.middle	options	Cheat 1 Stack	Сжульничать 1 стэк
key.jei.cheatOneItem	jei	UNIVERSAL	assumed		key.mouse.left	options	Cheat 1 Item	Сжульничать 1 предмет
key.jei.cheatOneItem2	jei	UNIVERSAL	assumed		key.mouse.right	options	Cheat 1 Item	Сжульничать 1 предмет
key.jei.clearSearchBar	jei	UNIVERSAL	assumed		key.mouse.right	options	Clear Search Filter	Очистить фильтр поиска
key.jei.closeRecipeGui	jei	UNIVERSAL	assumed		key.keyboard.escape	options	Close Recipes GUI	Закрыть интерфейс рецепта
key.jei.copy.recipe.id	jei	UNIVERSAL	assumed		key.keyboard.unknown	options	Copy Recipe ID to Clipboard	Скопировать ID рецепта в буфер обмена
